tipo;id;url;pagina_origem;painel
curso;1184;https://www.escolavirtual.gov.br/curso/1184;22;Não
curso;1181;https://www.escolavirtual.gov.br/curso/1181;22;Não
curso;1186;https://www.escolavirtual.gov.br/curso/1186;22;Não
curso;1180;https://www.escolavirtual.gov.br/curso/1180;22;Não
curso;848;https://www.escolavirtual.gov.br/curso/848;22;Não
curso;1166;https://www.escolavirtual.gov.br/curso/1166;23;Não
curso;1165;https://www.escolavirtual.gov.br/curso/1165;23;Não
curso;1134;https://www.escolavirtual.gov.br/curso/1134;23;Não
curso;976;https://www.escolavirtual.gov.br/curso/976;23;Sim
curso;1167;https://www.escolavirtual.gov.br/curso/1167;23;Sim
curso;1069;https://www.escolavirtual.gov.br/curso/1069;23;Não
curso;1155;https://www.escolavirtual.gov.br/curso/1155;23;Não
curso;1132;https://www.escolavirtual.gov.br/curso/1132;23;Não
curso;1073;https://www.escolavirtual.gov.br/curso/1073;23;Sim
curso;1161;https://www.escolavirtual.gov.br/curso/1161;23;Não
curso;1153;https://www.escolavirtual.gov.br/curso/1153;23;Sim
curso;1154;https://www.escolavirtual.gov.br/curso/1154;23;Não
curso;963;https://www.escolavirtual.gov.br/curso/963;24;Não
curso;1163;https://www.escolavirtual.gov.br/curso/1163;24;Não
curso;1162;https://www.escolavirtual.gov.br/curso/1162;24;Não
curso;1156;https://www.escolavirtual.gov.br/curso/1156;24;Não
curso;1160;https://www.escolavirtual.gov.br/curso/1160;24;Não
curso;1052;https://www.escolavirtual.gov.br/curso/1052;24;Não
curso;1071;https://www.escolavirtual.gov.br/curso/1071;24;Não
curso;1076;https://www.escolavirtual.gov.br/curso/1076;24;Não
curso;1072;https://www.escolavirtual.gov.br/curso/1072;24;Não
curso;946;https://www.escolavirtual.gov.br/curso/946;24;Não
curso;1135;https://www.escolavirtual.gov.br/curso/1135;24;Não
curso;1138;https://www.escolavirtual.gov.br/curso/1138;24;Não
curso;1139;https://www.escolavirtual.gov.br/curso/1139;25;Sim
curso;1127;https://www.escolavirtual.gov.br/curso/1127;25;Não
curso;944;https://www.escolavirtual.gov.br/curso/944;25;Não
curso;1074;https://www.escolavirtual.gov.br/curso/1074;25;Não
curso;1131;https://www.escolavirtual.gov.br/curso/1131;25;Não
curso;1130;https://www.escolavirtual.gov.br/curso/1130;25;Não
curso;1056;https://www.escolavirtual.gov.br/curso/1056;25;Não
curso;1114;https://www.escolavirtual.gov.br/curso/1114;25;Não
curso;1120;https://www.escolavirtual.gov.br/curso/1120;25;Não
curso;1115;https://www.escolavirtual.gov.br/curso/1115;25;Não
curso;1081;https://www.escolavirtual.gov.br/curso/1081;25;Não
curso;1089;https://www.escolavirtual.gov.br/curso/1089;25;Não
curso;1060;https://www.escolavirtual.gov.br/curso/1060;26;Não
curso;1092;https://www.escolavirtual.gov.br/curso/1092;26;Não
curso;1093;https://www.escolavirtual.gov.br/curso/1093;26;Não
curso;1090;https://www.escolavirtual.gov.br/curso/1090;26;Sim
